Date,Date,Energy,diff,Energy_log,Energy_log_diff
1959-06-01,1959-06-01,19.5817,0.594100000000001,2.9745954566225112,0.11596666229034547
1959-07-01,1959-07-01,20.0984,0.5167000000000002,3.0006402099065737,0.11425416218875029
1959-08-01,1959-08-01,20.5117,0.41329999999999956,3.020995455046281,0.09505816029560865
1959-09-01,1959-09-01,20.7184,0.20669999999999789,3.0310221943324387,0.10231686881700197
1959-10-01,1959-10-01,19.7884,-0.9299999999999997,2.985095907432432,0.08724662051370702
1959-11-01,1959-11-01,19.7367,-0.0517000000000003,2.98247984677805,0.08891319798536612
1959-12-01,1959-12-01,20.8734,1.1367000000000012,3.0384756210928234,0.09333162734967937
1960-01-01,1960-01-01,21.7518,0.8783999999999992,3.079696512731077,0.08291978480949513
1960-02-01,1960-02-01,21.4417,-0.3100999999999985,3.0653376241040085,0.08547561971105067
1960-03-01,1960-03-01,21.5451,0.1034000000000006,3.0701484125051617,0.09555295588265045
1960-04-01,1960-04-01,20.8217,-0.7234000000000016,3.0359957121109034,0.08543341352599043
1960-05-01,1960-05-01,20.2017,-0.620000000000001,3.00576675928188,0.061980624751079016
1960-06-01,1960-06-01,20.7184,0.5167000000000002,3.0310221943324387,0.056426737709927455
1960-07-01,1960-07-01,21.2351,0.5167000000000002,3.0556554729606447,0.055015263054071006
1960-08-01,1960-08-01,22.0617,0.8265999999999991,3.0938430734128537,0.0728476183665725
1960-09-01,1960-09-01,22.0876,0.025900000000000034,3.095016365083217,0.06399417075077851
1960-10-01,1960-10-01,21.0542,-1.0333999999999968,3.0471000651665543,0.062004157734122156
1960-11-01,1960-11-01,20.8217,-0.2325000000000017,3.0359957121109034,0.05351586533285335
1960-12-01,1960-12-01,21.5967,0.7749999999999986,3.072540525240628,0.0340649041478045
1961-01-01,1961-01-01,22.6301,1.0334000000000003,3.11928087854863,0.0395843658175532
1961-02-01,1961-02-01,22.1651,-0.46499999999999986,3.0985189798042545,0.03318135570024605
1961-03-01,1961-03-01,21.8551,-0.3099999999999987,3.084434303916798,0.014285891411636165
1961-04-01,1961-04-01,21.4934,-0.361699999999999,3.0677459112624255,0.03175019915152211
1961-05-01,1961-05-01,21.4934,0.0,3.0677459112624255,0.06197915198054549
1961-06-01,1961-06-01,21.9584,0.46499999999999986,3.089149754241939,0.05812755990950036
1961-07-01,1961-07-01,22.4751,0.5167000000000002,3.112408029735995,0.05675255677535018
1961-08-01,1961-08-01,23.5343,1.0592000000000006,3.158458931474723,0.06461585806186942
1961-09-01,1961-09-01,23.6634,0.12909999999999755,3.163929550677427,0.06891318559421
1961-10-01,1961-10-01,22.7334,-0.9299999999999997,3.1238352087283263,0.07673514356177202
1961-11-01,1961-11-01,22.3976,-0.335799999999999,3.1089538102636456,0.07295809815274223
1961-12-01,1961-12-01,23.3276,0.9299999999999997,3.149637208902834,0.07709668366220601
1962-01-01,1962-01-01,24.7226,1.3949999999999996,3.2077178050522,0.08843692650357005
1962-02-01,1962-02-01,24.0768,-0.6458000000000013,3.1812487212444647,0.08272974144021017
1962-03-01,1962-03-01,23.9218,-0.15499999999999758,3.1747901770873495,0.0903558731705516
1962-04-01,1962-04-01,23.0434,-0.8784000000000027,3.1373793943848356,0.06963348312241013
1962-05-01,1962-05-01,22.9401,-0.10329999999999728,3.132886470889631,0.06514055962720544
1962-06-01,1962-06-01,23.7151,0.7749999999999986,3.166111976061114,0.076962221819175
1962-07-01,1962-07-01,24.4384,0.7233000000000018,3.196155665711928,0.08374763597593304
1962-08-01,1962-08-01,25.1101,0.6716999999999977,3.2232701556386645,0.06481122416394136
1962-09-01,1962-09-01,25.1101,0.0,3.2232701556386645,0.059340604961237275
1962-10-01,1962-10-01,24.0768,-1.0333000000000006,3.1812487212444647,0.057413512516138354
1962-11-01,1962-11-01,23.9218,-0.15499999999999758,3.1747901770873495,0.06583636682370386
1962-12-01,1962-12-01,24.8259,0.9040999999999997,3.211887463050519,0.06225025414768526
1963-01-01,1963-01-01,26.2726,1.4466999999999999,3.2685265710116704,0.06080876595947027
1963-02-01,1963-02-01,25.9626,-0.3100000000000023,3.2566570409040088,0.07540831965954409
1963-03-01,1963-03-01,25.4718,-0.4907999999999966,3.2375719578723534,0.06278178078500396
1963-04-01,1963-04-01,24.5159,-0.9559000000000033,3.1993218866463295,0.06194249226149395
1963-05-01,1963-05-01,24.5159,0.0,3.1993218866463295,0.06643541575669865
1963-06-01,1963-06-01,25.3168,0.8009000000000022,3.2314682069825817,0.0653562309214677
1963-07-01,1963-07-01,26.4534,1.1365999999999978,3.2753846944666223,0.0792290287546944
1963-08-01,1963-08-01,27.3059,0.8525000000000027,3.30710279605707,0.08383264041840555
1963-09-01,1963-09-01,26.9184,-0.38750000000000284,3.2928100676461343,0.06953991200746978
1963-10-01,1963-10-01,25.5493,-1.3690999999999995,3.2406099190141275,0.059361197769662866
1963-11-01,1963-11-01,25.2393,-0.3099999999999987,3.228402303532482,0.05361212644513236
1963-12-01,1963-12-01,26.4793,1.2399999999999984,3.276363295674078,0.06447583262355883
1964-01-01,1964-01-01,28.2101,1.7308000000000021,3.3396800698498765,0.0711534988382061
1964-02-01,1964-02-01,27.3576,-0.8524999999999991,3.3089943696085413,0.05233732870453256
1964-03-01,1964-03-01,27.2801,-0.07750000000000057,3.3061574986576923,0.06858554078533885
1964-04-01,1964-04-01,26.8409,-0.4391999999999996,3.2899268435830233,0.09060495693669379
1964-05-01,1964-05-01,26.6343,-0.20660000000000167,3.28219985881467,0.08287797216834036
1964-06-01,1964-06-01,27.5126,0.8782999999999994,3.314644081557469,0.0831758745748874
1964-07-01,1964-07-01,29.2693,1.7567000000000021,3.3765391851462105,0.10115449067958826
1964-08-01,1964-08-01,30.0701,0.8007999999999988,3.4035313225685693,0.09642852651149925
